position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
Defender,Ligue 1,25-28,77,0.35064935064935066,1.0,0.974025974025974,0.6623376623376623
Midfield,Bundesliga,21-24,77,0.4805194805194805,1.0,0.8831168831168831,0.4025974025974026
Midfield,Premier League,25-28,77,0.42857142857142855,1.0,0.948051948051948,0.7402597402597403
GK,La Liga,33+,75,0.08,0.49333333333333335,0.48,0.04
DEF,Ligue 1,33+,74,0.0945945945945946,0.6486486486486487,0.6081081081081081,0.3108108108108108
FWD,Eredivisie,<21,74,0.12162162162162163,1.0,0.581081081081081,0.7297297297297297
DEF,Eredivisie,21-24,73,0.1917808219178082,0.9726027397260274,0.5753424657534246,0.7671232876712328
Defender,LaLiga,25-28,72,0.3194444444444444,1.0,0.9861111111111112,0.5138888888888888
Defender,Ligue 1,<21,72,0.20833333333333334,0.7916666666666666,0.6527777777777778,0.013888888888888888
Defender,Premier League,<21,71,0.3380281690140845,0.9014084507042254,0.5633802816901409,0.056338028169014086
Midfield,LaLiga,21-24,69,0.2608695652173913,1.0,0.8405797101449275,0.13043478260869565
Midfield,Bundesliga,25-28,68,0.36764705882352944,1.0,0.9264705882352942,0.8088235294117647
GK,La Liga,<21,67,0.1791044776119403,0.5522388059701493,0.7611940298507462,0.2537313432835821
Midfield,Bundesliga,<21,66,0.22727272727272727,0.8939393939393939,0.6666666666666666,0.07575757575757576
Midfield,Premier League,<21,65,0.36923076923076925,0.9076923076923077,0.7846153846153846,0.0
Attack,Ligue 1,25-28,64,0.46875,1.0,0.9375,0.59375
DEF,Liga Portugal,25-28,63,0.1746031746031746,0.9523809523809523,0.7619047619047619,0.4126984126984127
MID,Eredivisie,21-24,63,0.1111111111111111,1.0,0.6190476190476191,0.8253968253968254
Midfield,Ligue 1,<21,62,0.3709677419354839,0.9193548387096774,0.7580645161290323,0.016129032258064516
GK,Bundesliga,33+,60,0.23333333333333334,0.4166666666666667,0.3333333333333333,0.26666666666666666
MID,La Liga,33+,59,0.0847457627118644,0.6271186440677966,0.6101694915254238,0.23728813559322035
MID,Eredivisie,<21,58,0.08620689655172414,0.9482758620689655,0.39655172413793105,0.7241379310344828
Midfield,LaLiga,25-28,58,0.3275862068965517,1.0,0.9482758620689655,0.1896551724137931
Attack,Serie A,<21,56,0.2857142857142857,0.9285714285714286,0.7321428571428571,0.0
GK,Ligue 1,33+,56,0.14285714285714285,0.4642857142857143,0.44642857142857145,0.32142857142857145
Attack,Bundesliga,<21,55,0.34545454545454546,0.9090909090909091,0.6181818181818182,0.0
DEF,La Liga,33+,54,0.09259259259259259,0.5925925925925926,0.5925925925925926,0.2037037037037037
Defender,Bundesliga,<21,53,0.39622641509433965,0.8867924528301887,0.660377358490566,0.018867924528301886
Defender,Serie A,<21,52,0.38461538461538464,0.9423076923076923,0.5576923076923077,0.0
